,Name,Rating,Cuisine,Avg Rate,Area,Zone
0,Moti Mahal Delux Restaurant,4.4," North Indian, Mughlai, Biryani",₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
1,Corridor Seven Coffee Roaster,5," Desserts, Continental",₹ 800 for 2 (approx) ,Sitabuldi, Central Nagpur
2,Jagat Restaurant,5," North Indian, Chinese, Pizza, Street Food",₹ 600 for 2 (approx) ,Sitabuldi, Central Nagpur
3,Kalpataru,3.9," North Indian, Asian, Desserts","₹ 1,600 for 2 (approx) ","Hotel Hardeo,Sitabuldi", Central Nagpur
4,Side Walk,3.8," North Indian, Continental, Chinese","₹ 1,900 for 2 (approx) ","Hotel Hardeo,Sitabuldi", Central Nagpur
5,Barbeque Nation,4.3," North Indian, Chinese","₹ 2,000 for 2 (approx) ","Eternity Mall,Sitabuldi", Central Nagpur
6,Ice Lounge,3.6, Fast Food,"₹ 2,000 for 2 (approx) ","Hotel Hardeo,Sitabuldi", Central Nagpur
7,Robo 2.0,4.3," North Indian, Chinese",₹ 800 for 2 (approx) ,"Eternity Mall,Sitabuldi", Central Nagpur
8,High Steak,4.2," North Indian, Continental, Chinese","₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
9,Hotel Brijinn,4.3," North Indian, Fast Food",₹ 600 for 2 (approx) ,Gandhibagh, East Nagpur
10,D9 Restro Lounge,3.6," North Indian, Mughlai, Chinese",₹ 500 for 2 (approx) ,Sitabuldi, Central Nagpur
11,TAO - Asian Kitchen,5," Asian, Sushi","₹ 1,900 for 2 (approx) ",Civil Lines, West Nagpur
12,TDS Restro Lounge,4.2," North Indian, Chinese, Continental","₹ 2,100 for 2 (approx) ","Milestone Building,Ramdaspeth", West Nagpur
13,The Frontier Post,5," Mughlai, North Indian","₹ 1,600 for 2 (approx) ","Tuli International,Sadar", West Nagpur
14,The Treat,4.2," Chinese, North Indian",₹ 800 for 2 (approx) ,Gandhibagh, East Nagpur
15,AU 79,3," Chinese, North Indian, Continental, Mughlai","₹ 1,200 for 2 (approx) ","Hotel Gangakashi,Sitabuldi", Central Nagpur
16,Esco Cafe - Lounge & Bar,5," Continental, North Indian, Desserts",₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
17,Dessertz & More,4.3," Desserts, Fast Food",₹ 500 for 2 (approx) ,Mohan Nagar, North Nagpur
18,Nanking's,3.6," Chinese, Asian, Seafood","₹ 1,000 for 2 (approx) ",Civil Lines, West Nagpur
19,Nawab's,4," Mughlai, North Indian, Chinese",₹ 800 for 2 (approx) ,Civil Lines, West Nagpur
20,Bougainvillea,4.6, North Indian,"₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
21,Roast Cafe,4.8," North Indian, Chinese, Fast Food, Biryani",₹ 600 for 2 (approx) ,Sadar, West Nagpur
22,The Yellow Chilli,4.2," North Indian, Street Food","₹ 1,200 for 2 (approx) ",Untkhana, West Nagpur
23,Hotel Darshan Towers - Amantran Restaurant,3.4," Chinese, North Indian, Fast Food","₹ 1,200 for 2 (approx) ",Gandhibagh, East Nagpur
24,Vyanjanam-The Taste Of India,4.2," Chinese, South Indian, North Indian",₹ 500 for 2 (approx) ,Ramdaspeth, West Nagpur
25,The Locals Bar & Cafe,3.8," North Indian, Italian, Continental, Chinese","₹ 1,000 for 2 (approx) ","AD Complex,Sadar", West Nagpur
26,Food Links,4.3, Fast Food,₹ 500 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
27,Della Italia,4.6, Desserts,₹ 600 for 2 (approx) ,Civil Lines, West Nagpur
28,M's Repose Restro Lounge,3.3," North Indian, Malvani, Continental, Chinese","₹ 1,500 for 2 (approx) ","Shriram Tower,Sadar", West Nagpur
29,LB's Kitchen,4," North Indian, Mughlai, Chinese",₹ 900 for 2 (approx) ,Sadar, West Nagpur
30,Freakk De Bistro,4.1," Fast Food, Finger Food","₹ 2,000 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
31,Orbiyo Natural Icecreams,4.1, Desserts,₹ 200 for 2 (approx) ,Sadar, West Nagpur
32,House of Beers,3.5," Finger Food, Chinese, North Indian","₹ 1,500 for 2 (approx) ",Civil Lines, West Nagpur
33,Meeting Point,4.4," North Indian, Chinese, Thai, Continental, Asian","₹ 1,300 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
34,Juiceb,1.7," Chinese, North Indian, Pizza",₹ 500 for 2 (approx) ,"Empress City Mall,Gandhibagh", East Nagpur
35,Maddtowns Sports Restrobar,3.4," North Indian, Chinese, Fast Food","₹ 1,700 for 2 (approx) ",Mohan Nagar, North Nagpur
36,Pablo - The Art Cafe' Lounge,4.5," North Indian, American, Italian, Continental","₹ 1,200 for 2 (approx) ",Civil Lines, West Nagpur
37,Krishnum Food Plaza,4," North Indian, South Indian, Fast Food, Chinese, Beverages, Desserts",₹ 700 for 2 (approx) ,Sadar, West Nagpur
38,Toast,3.7," Fast Food, Beverages",₹ 500 for 2 (approx) ,Sadar, West Nagpur
39,Tattwam,4.3," South Indian, North Indian",₹ 700 for 2 (approx) ,Ramdaspeth, West Nagpur
40,F&B studio,4.5," Fast Food, Chinese, Beverages",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
41,Tornados,4, Fast Food,₹ 300 for 2 (approx) ,Civil Lines, West Nagpur
42,Drifters Tap Station,4.5," North Indian, Continental, Chinese, Italian","₹ 1,000 for 2 (approx) ",Ramdaspeth, West Nagpur
43,Tornados,4.2, Fast Food,₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
44,Khichadiwala,4.4, Health Food,₹ 400 for 2 (approx) ,Ramdaspeth, West Nagpur
45,ABs - Absolute Barbecues,4.4," North Indian, Chinese","₹ 1,400 for 2 (approx) ",Dharampeth, West Nagpur
46,Hungama Street Cafe,4.2," Chinese, Fast Food",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
47,Three Beans,4.7," American, Italian, Continental, Desserts",₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
48,Nagpur Adda,1.5, North Indian,"₹ 1,200 for 2 (approx) ",Sitabuldi, Central Nagpur
49,Bighdey Nawab,4.4," Mughlai, North Indian","₹ 1,300 for 2 (approx) ",Nandanvan, East Nagpur
50,Tandoori Chaska,3.9," Chinese, North Indian, Biryani",₹ 700 for 2 (approx) ,Nandanvan, East Nagpur
51,Little Italy,3.4," Italian, North Indian, Chinese, Mexican","₹ 1,400 for 2 (approx) ",Civil Lines, West Nagpur
52,Uptown501,3.6," North Indian, Continental, Asian","₹ 1,100 for 2 (approx) ",Dharampeth, West Nagpur
53,Hotel Amir's Pure Veg Punjabi Restaurant,3.3," Pizza, Biryani, Street Food",₹ 700 for 2 (approx) ,Gandhibagh, East Nagpur
54,Toss Chinese & Barbecue,3.4," Chinese, North Indian",₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
55,The Sidewalk Cafe,3.8," Fast Food, Pizza",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
56,Hitchki,3.3," North Indian, Chinese, Continental","₹ 1,700 for 2 (approx) ",Chhaoni, North Nagpur
57,Step Inn,4.1," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Gokulpeth, West Nagpur
58,Amaira,3.9," Chinese, North Indian","₹ 1,000 for 2 (approx) ","MTDC Building,Civil Lines", West Nagpur
59,Shahi Haandi Kebab & Biryani,5," Mughlai, North Indian",₹ 500 for 2 (approx) ,Gokulpeth, West Nagpur
60,London Bubble Co,4.7, Desserts,₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
61,Radha Krishna By Ram Bhandar,2.5," North Indian, Chinese, Fast Food",₹ 400 for 2 (approx) ,Gandhibagh, East Nagpur
62,Icing On The Cake,3.2," Continental, Beverages, Chinese, Pizza",₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
63,Orbiyo Natural Icecreams,4.4, Desserts,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
64,Bouffage Cafe & Bistro,5," North Indian, Seafood, Italian, Chinese, Fast Food, Mughlai, Desserts","₹ 1,200 for 2 (approx) ",Dharampeth, West Nagpur
65,Greens Pure Veg Restaurant,5," North Indian, Continental, Chinese","₹ 1,000 for 2 (approx) ",Ravi Nagar, West Nagpur
66,Licksters,3.5, Desserts,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
67,Italy Via Punjab,4.4," North Indian, Italian, Biryani, Desserts",₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
68,Yamazaki Pan-Asian Cuisine,5," Asian, Sushi, Chinese","₹ 1,000 for 2 (approx) ",Bajaj Nagar, West Nagpur
69,SSD's Swad Ghar Ka,4.3, North Indian,₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
70,Namaste Mexico,5," Mexican, Fast Food, Italian, Pizza",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
71,The Chocolate Room,4.4," Italian, Fast Food, Pizza, Desserts, Beverages",₹ 600 for 2 (approx) ,Ravi Nagar, West Nagpur
72,The Next Chapter Cafe,4.5," Fast Food, Continental, North Indian, Beverages",₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
73,Mustard Restro Lounge,4.4," North Indian, Chinese, Continental","₹ 1,700 for 2 (approx) ","Vijay Arcade,Dharampeth", West Nagpur
74,Kareem's,5," Mughlai, Chinese, North Indian","₹ 1,300 for 2 (approx) ",Sadar, West Nagpur
75,Hotel Sujal Saoji,4," Maharashtrian, North Indian, Chinese",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
76,Toss - Cafe And Restro,4.2," Chinese, Fast Food, Italian, Beverages",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
77,Aww The Cafe Studio,2.4, Fast Food,₹ 600 for 2 (approx) ,Civil Lines, West Nagpur
78,Brewin Cafe,4.8," Fast Food, Desserts, Beverages",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
79,Salud Restro Lounge,4.5," North Indian, Chinese, Continental, Italian, Mexican","₹ 1,500 for 2 (approx) ",Bajaj Nagar, West Nagpur
80,Cafe Khoka,5," Fast Food, Beverages",₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
81,Mocha,3.9," North Indian, Continental, Fast Food","₹ 1,000 for 2 (approx) ",Dharampeth, West Nagpur
82,Chaat Shaala,4.2," Fast Food, Street Food",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
83,Smokin Grills,4.5," Fast Food, Pizza",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
84,The Cafe Barrel,3.9," North Indian, Chinese, Fast Food","₹ 1,100 for 2 (approx) ",Dharampeth, West Nagpur
85,Crostino,3.9," Fast Food, Beverages",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
86,The Waffle Boss Co.,4.4, Desserts,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
87,Food Mohalla,5," Italian, Fast Food",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
88,Deja Brew,4.1, North Indian,"₹ 1,500 for 2 (approx) ","Regenta Central Hotel & Convention Centre,Nandanvan", East Nagpur
89,Mini Punjab,3.3," North Indian, Continental, Chinese",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
90,Hot Sandwiches,3.8," Fast Food, Italian",₹ 500 for 2 (approx) ,Lakadganj, East Nagpur
91,Mittran Di Sigri,3.5," North Indian, Chinese","₹ 1,100 for 2 (approx) ",Sadar, West Nagpur
92,Barbeque Hut,3.3," North Indian, Chinese",₹ 900 for 2 (approx) ,Gandhibagh, East Nagpur
93,Dairy Don,3.2, Desserts,₹ 300 for 2 (approx) ,"Madhu Madhav Towers,Dharampeth", West Nagpur
94,Food Links,4.4, Fast Food,₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
95,The Diet Studio,3.3, Health Food,₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
96,Beyond Kitchen and Bar,4," North Indian, Chinese","₹ 1,400 for 2 (approx) ",Dharampeth, West Nagpur
97,Rosetta Elite-7th Heaven,3.9," North Indian, Fast Food",₹ 800 for 2 (approx) ,Wardha Road, South Nagpur
98,Cake Links,4.5, Desserts,₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
99,7 Bucks Cafe,3.5," Chinese, Continental, Fast Food",₹ 600 for 2 (approx) ,Ravi Nagar, West Nagpur
100,Rhythm & Blues,1," Continental, Italian, North Indian","₹ 1,500 for 2 (approx) ","Tuli International,Sadar", West Nagpur
101,Orbiyo Natural Icecreams,4.4, Desserts,₹ 200 for 2 (approx) ,Nandanvan, East Nagpur
102,Two Joes,4.3," Chinese, North Indian, Fast Food, Mexican",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
103,Feliz Cafe,3.6," North Indian, Continental, Chinese","₹ 1,100 for 2 (approx) ","Regenta Central Hotel & Convention Centre,Nandanvan", East Nagpur
104,Hotel Maitreyee,5," Mughlai, North Indian, Beverages, Biryani",₹ 800 for 2 (approx) ,Gandhi Nagar, West Nagpur
105,Ruchkar Assal Maharashtrian Vyanjan,4.1," Maharashtrian, Chinese, North Indian",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
106,Cake Links,4, Desserts,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
107,Vintage Cafe,4.2, Fast Food,₹ 300 for 2 (approx) ,"Ganesh Tower,Ravi Nagar", West Nagpur
108,Shabana's Herbs & Spices,2.3, Fast Food,₹ 900 for 2 (approx) ,Chhaoni, North Nagpur
109,Anna Idli,3.9, South Indian,₹ 400 for 2 (approx) ,Laxminagar, South Nagpur
110,Hideout Cafe,2.1," Fast Food, Desserts",₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
111,Dairy Don's Supreme Sandwiches,2.3, Fast Food,₹ 300 for 2 (approx) ,"Madhu Madhav Towers,Dharampeth", West Nagpur
112,Food Links,3.7, Fast Food,₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
113,Royal Plaza,," North Indian, Mughlai",₹ 400 for 2 (approx) ,Sitabuldi, Central Nagpur
114,Lush House,3.9," North Indian, Health Food, Continental, Desserts, Pizza",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
115,Orbiyo Natural Icecreams,3.5, Desserts,₹ 200 for 2 (approx) ,Ayodhya Nagar, South Nagpur
116,Kabab Hut,3.9," Awadhi, Mughlai, Desserts","₹ 1,400 for 2 (approx) ",Wardha Road, South Nagpur
117,Bajrang Bhojnalay,," North Indian, Fast Food",₹ 400 for 2 (approx) ,Sitabuldi, Central Nagpur
118,N7 Nitro Factory,3.3, Desserts,₹ 300 for 2 (approx) ,Nandanvan, East Nagpur
119,Chai Choupati,3," Fast Food, Beverages",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
120,Nandanvan Street House,3," Fast Food, Chinese, Beverages",₹ 600 for 2 (approx) ,Nandanvan, East Nagpur
121,Titoos Restaurant and Bar,," Chinese, North Indian, Maharashtrian",₹ 500 for 2 (approx) ,Sitabuldi, Central Nagpur
122,Juhi's Kitchen,3.9," Chinese, North Indian",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
123,Crostino,3," Fast Food, Beverages",₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
124,Orbiyo Natural Icecreams,, Desserts,₹ 200 for 2 (approx) ,Ganeshpeth, East Nagpur
125,Orbiyo Natural Icecreams,, Desserts,₹ 200 for 2 (approx) ,Dhantoli, West Nagpur
126,The Pancake Story,3," Desserts, Fast Food",₹ 300 for 2 (approx) ,"Pathak House,Bajaj Nagar", West Nagpur
127,9 3/4 Central Perk Cafe,5, Fast Food,₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
128,Krishnum Restaurant,," North Indian, South Indian, Fast Food",₹ 700 for 2 (approx) ,Gandhibagh, East Nagpur
129,Cake Links,, Desserts,₹ 400 for 2 (approx) ,Dhantoli, West Nagpur
130,Coelum Cafe,, Fast Food,₹ 300 for 2 (approx) ,"Sanskrutik Sankul Complex,Sitabuldi", Central Nagpur
131,Ni Hao,4.7," Chinese, Asian","₹ 3,500 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
132,Uncle John's Pizza,5," Pizza, Fast Food",₹ 500 for 2 (approx) ,Sadar, West Nagpur
133,The Creative Kitchen,4.4," Continental, North Indian, Chinese, Italian","₹ 2,500 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
134,Mississipi Street,3.3," North Indian, Italian, South Indian, Chinese",₹ 800 for 2 (approx) ,Pratap Nagar, South Nagpur
135,Annapurna Restaurant,3," North Indian, South Indian, Fast Food",₹ 700 for 2 (approx) ,Lakadganj, East Nagpur
136,Veggietude,, North Indian,"₹ 1,400 for 2 (approx) ",Civil Lines, West Nagpur
137,Bouffage,," Continental, North Indian, Chinese, Fast Food, Italian, Mughlai, Seafood","₹ 1,200 for 2 (approx) ",Mohan Nagar, North Nagpur
138,Cake Walk,4.5," Fast Food, Beverages, Desserts",₹ 700 for 2 (approx) ,"Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
139,DALI THE ART CAFE,4.6, Continental,"₹ 1,300 for 2 (approx) ",Wardha Road, South Nagpur
140,Cafe Fruita,2.3," Fast Food, North Indian",₹ 300 for 2 (approx) ,Nandanvan, East Nagpur
141,Oasis,," Continental, North Indian, Fast Food","₹ 1,000 for 2 (approx) ",Civil Lines, West Nagpur
142,Shabana Bakery,1," Fast Food, Chinese, Pizza",₹ 200 for 2 (approx) ,Sadar, West Nagpur
143,Sam's Pizza,4," Pizza, Italian",₹ 800 for 2 (approx) ,Wardhaman Nagar, East Nagpur
144,Cafe 9 3/4,3.5, Fast Food,₹ 600 for 2 (approx) ,Pratap Nagar, South Nagpur
145,Ark - Indian Kitchen,, North Indian,"₹ 1,200 for 2 (approx) ",Civil Lines, West Nagpur
146,Indiya Oye,4," North Indian, Mughlai, Desserts, Awadhi","₹ 2,800 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
147,Nandri,," South Indian, Chinese, Chettinad",₹ 600 for 2 (approx) ,Sadar, West Nagpur
148,Dairy Don's Supreme Chaat,1, Street Food,₹ 100 for 2 (approx) ,"Madhu Madhav Towers,Dharampeth", West Nagpur
149,Ethyl Bar,4," Finger Food, North Indian, Continental","₹ 3,600 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
150,Khajur,," North Indian, Continental, Parsi, Goan","₹ 1,000 for 2 (approx) ",Sadar, West Nagpur
151,Icing On The Cake,," Continental, Chinese, North Indian, Pizza, Beverages",₹ 900 for 2 (approx) ,Sadar, West Nagpur
152,Bula's Kitchen,3.3," Chinese, North Indian, Fast Food, Tibetan, Mughlai",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
153,Cake Links,1, Desserts,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
154,Chicago Pizza,1," Pizza, Italian",₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
155,Taco Bell,, Tex Mex,₹ 600 for 2 (approx) ,Untkhana, West Nagpur
156,Four Seasons,, North Indian,"₹ 1,200 for 2 (approx) ","Tuli International,Sadar", West Nagpur
157,The Patisserie Shop,," Desserts, Fast Food",₹ 500 for 2 (approx) ,"Tuli International,Sadar", West Nagpur
158,Mr. Hops Brew Cafe,3.9," North Indian, Continental, Chinese","₹ 1,700 for 2 (approx) ",Wardha Road, South Nagpur
159,Orbiyo Natural Icecreams,4, Desserts,₹ 200 for 2 (approx) ,Pratap Nagar, South Nagpur
160,Cake Links,4, Desserts,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
161,Bakasur,1," North Indian, Chinese","₹ 1,200 for 2 (approx) ",Bajaj Nagar, West Nagpur
162,Eelaichii Family Restaurant,3.6," Chinese, North Indian",₹ 650 for 2 (approx) ,Pratap Nagar, South Nagpur
163,Cake Links,, Desserts,₹ 400 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
164,Orbiyo Natural Icecreams,3.8, Desserts,₹ 200 for 2 (approx) ,"Shantinath Apartment,Wardhaman Nagar", East Nagpur
165,Ruchi's Kitchen,1, North Indian,₹ 900 for 2 (approx) ,Bajaj Nagar, West Nagpur
166,Khichadiwala,4.7, Health Food,₹ 400 for 2 (approx) ,Gayatri Nagar, South Nagpur
167,Ravi's Food,," Fast Food, North Indian, Chinese",₹ 700 for 2 (approx) ,Sadar, West Nagpur
168,The Bali's Cafe,3.7, Fast Food,₹ 500 for 2 (approx) ,Wardhaman Nagar, East Nagpur
169,Mogra,," North Indian, Fast Food",₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
170,Suryakant Saoji,1, North Indian,₹ 500 for 2 (approx) ,Lakadganj, East Nagpur
171,Hotel Daawat,2.3," Mughlai, North Indian, Chinese",₹ 800 for 2 (approx) ,Mankapur, North Nagpur
172,Treat At Street Cafe,4.3, Fast Food,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
173,JMV Food Zone,," North Indian, Chinese, Fast Food",₹ 700 for 2 (approx) ,Sadar, West Nagpur
174,Icing On The Cake,," Desserts, Fast Food",₹ 400 for 2 (approx) ,Untkhana, West Nagpur
175,Ivory House Restaurant,5," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Pratap Nagar, South Nagpur
176,Biryani By Kilo,1," Biryani, Mughlai",₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
177,Giani's,," Desserts, Beverages",₹ 400 for 2 (approx) ,Sadar, West Nagpur
178,Food Links,3.2, Fast Food,₹ 500 for 2 (approx) ,Wardhaman Nagar, East Nagpur
179,Cake N Chocolate,, Desserts,₹ 400 for 2 (approx) ,Mahal, East Nagpur
180,Dream Restaurant,4," Chinese, North Indian, Mughlai",₹ 800 for 2 (approx) ,"Hotel Shivani International,Wardha Road", South Nagpur
181,Cheesy Crazy Cafe,," Italian, Fast Food",₹ 200 for 2 (approx) ,Sadar, West Nagpur
182,House Of Caffeine,4.1," Street Food, Chinese, Fast Food, Beverages",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
183,Shabana Bakery & Kitchen,," Fast Food, Desserts",₹ 400 for 2 (approx) ,Sadar, West Nagpur
184,Kickass 42,, Fast Food,₹ 300 for 2 (approx) ,Sadar, West Nagpur
185,DZO! Luxury Lounge and Pub,5," Finger Food, Fast Food","₹ 3,000 for 2 (approx) ",Pratap Nagar, South Nagpur
186,4 Amigos,1," Fast Food, Chinese",₹ 900 for 2 (approx) ,Bajaj Nagar, West Nagpur
187,BBC Courtyard,2.7," Chinese, North Indian, Continental","₹ 1,300 for 2 (approx) ",Gandhibagh, East Nagpur
188,Little Indian,, North Indian,"₹ 1,500 for 2 (approx) ",Civil Lines, West Nagpur
189,Nosh Cafe,," Fast Food, Continental, Beverages",₹ 300 for 2 (approx) ,"Narmada Plaza,Dharampeth", West Nagpur
190,Nosh,, Fast Food,₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
191,Orbiyo Natural Icecreams,, Desserts,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
192,La Pasta Fresca Deli,," Continental, Beverages",₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
193,Hotel Ashoka Imperial,4," North Indian, Chinese",₹ 900 for 2 (approx) ,Manish Nagar, South Nagpur
194,Delhi Grill,," Chinese, Fast Food",₹ 700 for 2 (approx) ,Chhaoni, North Nagpur
195,Nothing Before Coffee,," Desserts, Beverages",₹ 300 for 2 (approx) ,Dharampeth, West Nagpur
196,C for Chaat,, Street Food,₹ 300 for 2 (approx) ,Dharampeth, West Nagpur
197,Veggietude,5," North Indian, Chinese",₹ 900 for 2 (approx) ,Pratap Nagar, South Nagpur
198,KOYLA 29 Kebabs and More,, North Indian,₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
199,Shabana's Bakery & Cafe,," Chinese, Fast Food, Desserts",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
200,Being foodie Express Kitchen,3.6," Chinese, North Indian, Fast Food",₹ 800 for 2 (approx) ,Pratap Nagar, South Nagpur
201,Walkers Cafe,, Fast Food,₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
202,Jack N Jill,," North Indian, Chinese, Beverages",₹ 500 for 2 (approx) ,Jaripatka, North Nagpur
203,Food Links,4.4, Fast Food,₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
204,Casa Unplugged,5," Fast Food, Beverages",₹ 600 for 2 (approx) ,Hingna T Point, South Nagpur
205,Angels N Devils Restro,4.3," North Indian, Chinese, Fast Food","₹ 1,000 for 2 (approx) ",Hingna T Point, South Nagpur
206,Crostino,4.4," Fast Food, Beverages",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
207,M.S. Foods,," Chinese, Fast Food",₹ 300 for 2 (approx) ,"Achraj Tower,Sadar", West Nagpur
208,Bablu Da Dhaba,5," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
209,Orbiyo Natural Icecreams,4.1, Desserts,₹ 200 for 2 (approx) ,"Balaji Arcade,Manish Nagar", South Nagpur
210,S-Cube,, Fast Food,₹ 600 for 2 (approx) ,Laxminagar, South Nagpur
211,Golden Harvest,4.3," Chinese, North Indian","₹ 1,100 for 2 (approx) ",Wardha Road, South Nagpur
212,Kayo Lounge,," Fast Food, Beverages",₹ 600 for 2 (approx) ,Subhash Nagar, Central Nagpur
213,The Highway Smokehouse,4," North Indian, Mughlai, Chinese, Fast Food, Desserts","₹ 1,500 for 2 (approx) ",Wardha Road, South Nagpur
214,Mr. Browniee,," Fast Food, Beverages",₹ 400 for 2 (approx) ,Chhaoni, North Nagpur
215,Yummi Momos,," Chinese, Fast Food",₹ 300 for 2 (approx) ,Sadar, West Nagpur
216,Express By AB's,, North Indian,₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
217,Hunky-Dory Restro & Cafe,," North Indian, Chinese, Italian, Fast Food","₹ 1,200 for 2 (approx) ",Chhaoni, North Nagpur
218,Bawarchi Restaurant,3.6," North Indian, Continental, Chinese",₹ 500 for 2 (approx) ,Wardhaman Nagar, East Nagpur
219,Brussels' Waffles,, Desserts,₹ 300 for 2 (approx) ,"Madhu Madhav Towers,Dharampeth", West Nagpur
220,Cheesimania,3.9, Fast Food,₹ 600 for 2 (approx) ,Pratap Nagar, South Nagpur
221,Ten Tables Tandoor Family Restaurant,3.9," North Indian, Biryani, Mughlai",₹ 700 for 2 (approx) ,Manish Nagar, South Nagpur
222,The Daawat Mahal,4.4," North Indian, Chinese",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
223,Jack N Jill,," North Indian, Chinese, Burger, Fast Food, Beverages",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
224,The Pizza Project,," North Indian, Pizza",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
225,Lovelys Baker Street,3.5," Fast Food, Burger",₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
226,Median Grilled,3.9," North Indian, Chinese, Fast Food",₹ 600 for 2 (approx) ,Manish Nagar, South Nagpur
227,The Cake Affair,1, Desserts,₹ 500 for 2 (approx) ,Pratap Nagar, South Nagpur
228,The Beer Cafe,," Continental, Chinese",₹ 700 for 2 (approx) ,Ravi Nagar, West Nagpur
229,Cake Links,3, Desserts,₹ 400 for 2 (approx) ,"Balaji Arcade,Manish Nagar", South Nagpur
230,Asian Bistro - Steam and More,," Asian, Chinese, Sushi",₹ 900 for 2 (approx) ,Bajaj Nagar, West Nagpur
231,Pintu Saoji Restaurant,, North Indian,₹ 500 for 2 (approx) ,Lakadganj, East Nagpur
232,The Brewed Leaf,," Fast Food, Italian, Continental",₹ 600 for 2 (approx) ,Gokulpeth, West Nagpur
